generation_N,generation N
disjunction_N,disjunktion_N
negation_N,negation_N
CN hard_A drive_N,hårddisk_N
CN control_N unit_N,styrenhet_N
hardware_N,maskinvara_N
code_N,kod_N
CN information_N theory_N,informationsteori_N
electronics_N,elektroteknik_N
linguistics_N,språkvetenskap_N
table_N,tabell_N
CN file_N format_N,filformat_N
CN computer_N engineering_N,datorteknik_N
engineering_N,ingenjörsvetenskap_N
CN information_N system_N,informationssystem_N
CN digital_A signal_N processor_N,signalprocessor_N
CN web_N server_N,webbserver_N
CN programming_N paradigm_N,programmeringsparadigm_N
sensor_N,sensor_N
graphic_A,grafisk_A
CN web_N application_N,webbapplikation_N
CN device_N driver_N,drivrutin_N
CN instruction_N set_N architecture_N,instruktionsuppsättning_N
parser_N,parser_N
interruption_N,avbrott_N
CN inter-process_A communication_N,interprocesskommunikation_N
operator_N,operator_N
CN file_N name_N,filnamn_N
CN command-line_N interpreter_N,kommandotolk_N
CN unique_A key_N,databasnyckel_N
debugger_N,avlusare_N
property_N,egendom_N
touchscreen_N,pekskärm_N
CN scripting_N language_N,skriptspråk_N
bug_N,bugg_N
LED_N,lysdiod_N
CN speech_N recognition_N,taligenkänning_N
CN memory_N address_N,minnesadress_N
CN computer_N engineering_N,datateknik_N
operation_N,operation_N
unit_N,enhet_N
symbol_N,symbol_N
CN personal_A computer_N,persondator_N
bot_N,bot_N
wireless_A,trådlös_A
CN web_N page_N,webbsida_N
scanner_N,skanner_N
abstract_A,abstrakt_A
concrete_A,konkret_A
accumulator_N,ackumulator_N
accuracy_N,noggrannhet_N
precision_N,precision_N
selection_N,urval_N
activation_N,aktivering_N
inference_N,slutledning_N
resolution_N,upplösning_N
argument_N,argument_N
associative_A,associativ_A
automated_A,automatiserad_A
reasoning_N,resonemang_N
automaton_N,automatisering_N
robot_N,robot_N
robotics_N,robotik_N
benchmark_N,riktvärde_N
branch_V,grena_V
answer_N,svar_N
nested_A,nästlad_A
statement_N,sats_N
parameter_N,parameter_N
comment_N,kommentar_N
framework_N,ramverk_N
if-loop_N,if-loop_N
if-statement_N,if-sats_N
while-loop_N,while-loop_N
while-statement_N,while-sats_N
allocation_N,tilldelning_N
search_V2,söka_V2
build_V2,bygga_V2
engine_N,motor_N
capsule_N,kapsel_N
categorical_A,kategorisk_A
classifier_N,klassificerare_N
clock_V2,klocka_V2
column_N,kolumn_N
sort_V2,sortera_V2
computable_A,beräkningsbar_A
console_N,konsol_N
constant_N,konstant_N
constrain_V2,begränsa_V2
conditional_A,villkorlig_A
constraint_N,begränsning_N
container_N,behållare_N
redundant_A,överflödig_A
condition_N,villkor_N
block_N,block_N
boolean_A,boolesk_A
program_N,program_N
sequential_A,sekventiell_A
declaration_N,deklaration_N
declare_V,deklarera_V
initialization_N,initiering_N
initialize_V,initialisera_V
index_N,index_N
runtime_N,körning_N
error_N,fel_N
CN runtime_N error_N,exekveringsfel_N
accelerator_N,accelerator_N
cooling_N,kylning_N
asymptotic_A,asymptotisk_A
optical_A,optisk_A
variance_N,varians_N
pattern_N,mönster_N
blacklist_N,CN svarta_A listan_N
automation_N,automatisering_N
coherency_N,sammanhang_N
closure_N,stängning_N
histogram_N,histogram_N
combinatorial_A,kombinatorisk_A
comparison_N,jämförelse_N
compile_V2,sammanställa_V2
cybernetics_N,cybernetik_N
conceptual_A,begreppsmässig_A
conceptualization_N,begreppsmässighet_N
consistent_A,konsekvent_A
satisfaction_N,tillfredsställelse_N
continual_A,ständig_A
improvement_N,förbättring_N
continuation_N,fortsättning_N
style_N,stil_N
cooperative_A,samverkande_A
processing_N,bearbetning_N
stream_N,ström_N
boundary_N,gräns_N
default_N,standard_N
dependency_N,beroende_N
differentiable_A,differentierbar_A
reduction_N,reduktion_N
disk_N,disk_N
display_N,bildskärm_N
divide_V2,dela_V2
conquer_V2,erövra_V2
point_N,punkt_N
creativity_N,kreativitet_N
effective_A,effektiv_A
descriptive_A,beskrivande_A
cable_N,kabel_N
interference_N,interferens_N
switch_N,strömbrytare_N
extract_V2,extrahera_V2
transform_V2,omvandla_V2
false_A,falsk_A
feature_N,funktion_N
extraction_N,extraktion_N
controller_N,kontrollant_N
formula_N,formel_N
frame_N,ram_N
open_A,öppen_A
signature_N,signatur_N
generative_A,generativ_A
genetic_A,generisk_A
human_N,människa_N
segmentation_N,segmentering_N
immutable_A,oföränderlig_A
incremental_A,inkrementell_A
indicator_N,indikator_N
hide_V2,dölja_V2
query_N,fråga_N
visualization_N,visualisering_N
input_N,inmatning_N
cycle_N,cykel_N
test_V2,testa_V2
internal_A,inre_A
public_A,publik_A
interpretation_N,tolkning_N
irregular_A,oregelbunden_A
issue_N,problem_N
iterative_A,iterativ_A
primitive_A,primitiv_A
lazy_A,lat_A
merger_N,sammanslagning_N
loader_N,lastare_N
implication_N,implikation_N
random_A,slumpmässig_A
motion_N,rörelse_N
entity_N,entitet_N
nondeterministic_A,icke-deterministisk_A
monotonic_A,monoton_A
transformation_N,omvandling_N
precondition_N,förhandsvillkor_N
CN key_N feature_N,huvudfunktion_N
CN garbage_N collection_N,skräpsamling_N
CN global_A variable_N,CN global_A variabel_N
virus_N,virus_N
CN motion_N sensor_N,rörelsesensor_N
player_N,spelare_N
recursive_A,rekursiv_A
connection_N,anslutning_N
register_V2,registrera_V2
scope_N,räckvidd_N
semiconductor_N,halvledare_N
simulate_V2,simulera_V2
singleton_N,singleton_N
maintenance_N,underhåll_N
validation_N,validering_N
editor_N,redigerare_N
spam_N,skräppost_N
subset_N,delmängd_N
technological_A,teknologisk_A
translator_N,översättare_N
true_N,sann_N
user_N,användare_N 
programmable_A,programerbar_A 
CN text_N editor_N,textredigerare_N 
register_N,register_N 
CN hardware_N acceleration_N,hårdvaruacceleration_N
CN address_N space_N,adressrymd_N
CN card_N reader_N,kortläsare_N
cache_N,cache_N
CD-ROM_N,CD-ROM_NCN
CN computer_N case_N,datorchassi_N
CN form_N factor_N,formfaktor_N
CN core_N memory_N,kärnminne_N
CN expansion_N bus_N,expansionskort_N
firewall_N,brandvägg_N
firmware_N,firmware_N
CN flash_A memory_N,flashminne_N
CN floppy_A disk_N,diskett_N
CN graphics_A processing_N unit_N,grafikprocessor_N
CN hard_A disk_N drive_N,hårddisk_N
instruction_N,instruktionsuppsättning_N
CN integrated_A circuit_N,CN integrerad_A krets_N
keyboard_N,tangentbord_N
CN mainframe_N computer_N,stordator_N
CN memory_N card_N,minneskort_N
microcode_N,mikroprogram_N
motherboard_N,moderkort_N
CN network_N interface_N controller_N,nätverkskort_N
CN operating_A system_N,operativsystem_N
CN power_N supply_N,nätaggregat_N
printer_N,skrivare_N
CN sound_N card_N,ljudkort_N
CN tape_N drive_N,bandstation_N
CN computer_N terminal_N,datorterminal_N
trackpad_N,styrplatta_N
CN video_A card_N,grafikkort_N
webcam_N,webbkamera_N
enhet_N,drive_N
fan_N,fläkt_N
screen_N,bildskärm_N
CN LED_N display_N,lysdiodskärm_N
CN data_N storage_N device_N,lagringsmedium_N
CN communications_N protocol_N,kommunikationsprotokoll_N
CN printed_A circuit_N board_N,mönsterkort_N
CN parallel_A computing_N,parallelldator_N
graphical_A,grafisk_A
CN desktop_N computer_N,skrivbordsdator_N
laser_N,laser_N
electromagnetic_A,elektromagnetisk_A
CN computer_N mouse_N,datormus_N
CN static_A random-access_A memory_N,CN statiskt_A minne_N
CN electromagnetic_A wave_N,CN elektromagnetisk_A strålning_N
CN optical_A disc_N,CN optisk_A skiva_N
CN computer_N security_N model_N,datasäkerhetsmodell_N
CN information_N technology_N,informationsteknik_N
CN software_N development_V,mjukvaruutveckling_V
CN programming_N language_N,programmeringsspråk_N
CN unauthorized_A access_N,CN obehörig_A åtkomst_N
CN confidential_A information_N,CN konfidentiell_A information_N
CN holistic_A approach_N,helhetssyn_N
CN ethical_A aspect_N,CN etisk_A aspekt_N
CN design_N pattern_N,designmönster_N
CN mathematical_N modelling_N,CN matematisk_N modellering_N
CN functional_N programming_V,CN funktionell_N programmering_V
CN business_N information_N system_N,affärsinformationssystem_N
CN database_N administator_N,databasadministratör_N
CN recursive_A data_N type_N,CN rekursiv_A datatyp_N
CN graphical_A user_N interface_N,CN grafiskt_A användargränssnitt_N
CN two-factor_A authentication_N,tvåfaktorautentisering_N
CN mandatory_A access_N control_V,CN obligatorisk_A åtkomstkontroll_N
CN system_N specification_N,systemspecifikation_N
CN multi-core_A processor_N,CN flerkärnig_A processor_N
CN domain-specific_A language_N,CN domänspecifikt_A språk_N
CN data_N management_N,datahantering_N
CN object-oriented_A program_N,CN objektorienterat_A program_N
CN source_A code_N,källkod_N
CN machine_N code_N,maskinkod_N
CN computer_N system_N,datorsystem_N
CN software_N engineer_N,mjukvaruingenjör_N
CN software_N system_N,mjukvarusystem_N
CN game_N engine_N,spelmotor_N
CN compiler_N construction_N,kompileringskonstruktion_N
CN regular_A expression_N,CN reguljärt_A uttryck_N
CN code_N generator_N,kodgenerator_N
CN formal_A verification_N,CN formell_A verifiering_N
CN differential_A equation_N,differentialekvation_N
CN artificial_A intelligence_N,CN artificiell_A intelligens_N
CN algorithm_N design_V,algoritmdesign_V
CN network_N security_N,nätverksäkerhet_N
CN distributed_A systems_N,CN distribuerade_A system_N
CN applied_A data_N science_N,CN applicerad_A datavetenskap_N
CN abstract_A data_N type_N,CN abstrakt_A datatyp_N
CN abstract_A method_N,CN abstrakt_A metod_N
CN agile_A software_N development_N,CN agil_A mjukvaruutveckling_N
CN big_A data_N,CN big_A data_N
CN binary_A number_N,CN binärt_A tal_N
CN binary_A search_V tree_N,CN binärt_A sökträd_N
CN security_N protocol_N,säkerhetsprotokoll_N
CN virtual_A private_A network_N,CN virtuellt_A privat_A nätverk_N
CN floating_A point_N number_N,flyttal_N
CN attack_V model_N,attackmodell_N
CN linear_A search_V,CN linjär_A sökning_V
CN Data_N Communication_N,Datakommunikation_N
CN Domain_N Name_N System_N,Domännamnssystemet_N
CN Routing_N Protocol_N,Routingprotokoll_N
CN Congestion_N control_N,Stockningskontroll_N
